{ MA.0, MA.1, MA.2, MA.3, MA.4, MA.5, MA.6, MA.7, MA.8, MA.9, MA.a, MA.b, MD.0, MD.1, MD.2, MD.3, MD.4, MD.5, MD.6, MD.7, MD.8, MD.9, MD.a, MD.b, Write, Read }
{ 1,1,0,1,1,0,0,0,1,0,0,0, 0,1,0,0,1,0,1,0,1,0,0,0, 1, 0 }
{ 0,0,1,1,0,0,0,1,1,0,0,0, 1,0,0,1,0,1,0,1,1,1,1,0, 1, 0 }
{ 0,0,1,0,1,1,0,0,0,1,1,0, 0,0,0,0,0,0,0,0,0,0,0,0, 0, 1 }
{ 0,1,0,1,1,1,0,1,1,1,1,1, 0,0,1,0,0,1,1,0,1,1,1,0, 1, 0 }
{ 0,1,0,0,0,0,1,1,1,1,1,0, 1,1,1,0,1,0,0,0,1,1,1,1, 1, 0 }
{ 0,0,1,1,1,0,0,0,0,1,1,0, 0,0,0,0,0,0,0,0,0,0,0,0, 0, 1 }
{ 1,0,0,1,0,0,1,0,0,0,1,1, 0,0,0,0,0,0,0,0,0,0,0,0, 0, 1 }
{ 1,0,0,0,0,0,0,0,1,1,0,0, 0,0,0,1,1,0,1,0,1,0,1,1, 1, 0 }
{ 1,1,0,1,1,0,1,0,1,0,1,0, 0,0,0,0,0,0,0,0,0,0,0,0, 0, 1 }
{ 1,0,1,0,0,0,1,1,1,0,1,0, 0,0,0,1,1,0,1,1,1,0,1,0, 1, 0 }
{ 0,0,0,1,1,0,1,0,0,0,0,1, 1,0,1,1,1,0,0,0,0,1,0,1, 1, 0 }
{ 1,0,1,0,1,1,0,1,0,0,1,1, 0,1,0,0,0,0,0,1,0,0,0,1, 1, 0 }
{ 1,1,0,0,0,0,1,0,1,0,0,0, 0,0,0,0,0,0,0,0,0,0,0,0, 0, 1 }
{ 1,1,1,0,1,0,0,0,0,1,0,1, 0,0,0,0,0,0,0,0,0,0,0,0, 0, 1 }
{ 0,1,1,0,0,0,0,0,1,0,1,0, 0,0,0,0,0,0,0,0,0,0,0,0, 0, 1 }
{ 1,1,0,0,0,1,1,1,0,1,1,0, 0,0,0,0,0,0,0,0,0,0,0,0, 0, 1 }
{ 1,1,1,1,1,1,1,0,1,1,0,1, 0,0,1,1,0,0,0,1,1,0,1,1, 1, 0 }
{ 1,0,0,0,0,0,0,0,0,1,1,0, 1,0,1,1,0,1,0,1,0,1,0,0, 1, 0 }
{ 1,0,1,1,0,1,1,1,0,1,1,0, 0,0,0,0,0,0,0,0,0,0,0,0, 0, 1 }
{ 1,0,0,0,1,1,1,1,0,0,1,1, 0,0,1,1,0,1,0,1,1,0,0,0, 1, 0 }
{ 0,0,0,1,0,1,0,0,0,0,0,0, 0,0,0,0,0,0,0,0,0,0,0,0, 0, 1 }
{ 0,0,1,1,0,0,1,0,0,0,1,1, 0,0,0,0,0,0,0,0,0,0,0,0, 0, 1 }
{ 0,1,1,1,0,0,1,0,1,0,1,1, 1,0,1,0,0,0,1,1,0,1,1,1, 1, 0 }
{ 0,0,0,1,0,0,1,1,1,1,1,0, 0,1,1,1,0,1,1,1,1,0,0,1, 1, 0 }
{ 0,1,1,0,0,1,0,1,1,1,0,1, 0,0,1,0,1,0,0,0,1,1,1,1, 1, 0 }
{ 1,0,0,0,1,0,0,0,1,1,1,0, 0,0,0,0,0,0,0,0,0,0,0,0, 0, 1 }
{ 0,1,0,0,0,1,0,1,1,0,1,1, 0,0,0,0,0,0,0,0,0,0,0,0, 0, 1 }
{ 0,1,1,1,0,0,1,1,0,0,1,1, 0,1,0,0,0,1,1,0,1,1,0,0, 1, 0 }
{ 0,0,0,1,0,1,1,0,0,1,0,0, 0,0,0,0,0,0,0,0,0,0,0,0, 0, 1 }
{ 1,1,0,1,1,0,1,1,0,0,0,1, 1,1,1,1,0,0,1,0,0,0,0,1, 1, 0 }
{ 0,0,1,1,1,1,0,0,0,0,0,0, 0,0,0,0,0,0,1,1,1,0,1,0, 1, 0 }
{ 0,1,1,0,1,1,1,1,1,1,1,1, 0,0,0,0,0,0,0,0,0,0,0,0, 0, 1 }
{ 1,1,0,1,1,1,1,1,1,0,1,1, 0,0,0,0,0,0,0,0,0,0,0,0, 0, 1 }
{ 1,1,0,0,1,1,0,0,0,1,1,0, 1,1,1,1,0,0,0,1,1,0,1,1, 1, 0 }
{ 1,1,1,1,0,0,1,0,0,1,0,1, 0,0,0,0,0,0,0,0,0,0,0,0, 0, 1 }
{ 1,0,0,1,1,0,0,1,0,1,1,0, 0,0,0,0,0,0,0,0,0,0,0,0, 0, 1 }
